date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
22-04-1998,0.3885,0.39,0.3625,0.00026886,0.003101497,0.000374045,0.000233689,0.000250186,0.005026667,0.004453333,0.462866744,0.3652,0.000431251,0.000249191
23-04-1998,0.3625,0.3625,0.3354,0.000161316,0.003471332,0.000380393,0.000239452,0.000255723,0.005026667,0.004836667,0.435199255,0.36539,0.000423862,0.000253768
24-04-1998,0.3416,0.3655,0.3396,0.000227911,0.0051516,0.000388197,0.000246275,0.000261637,0.005563333,0.00468,0.48015719,0.366273333,0.000421466,0.000259096
27-04-1998,0.3474,0.3526,0.3214,0.000191511,0.005937653,0.000395369,0.000252353,0.000267032,0.005536667,0.004973333,0.458249254,0.366836667,0.000416757,0.000263936
28-04-1998,0.387,0.4145,0.3711,0.000413217,0.024893679,0.000407557,0.000260996,0.000274098,0.00728,0.004973333,0.548638374,0.369143333,0.000427389,0.000271377
29-04-1998,0.4052,0.411,0.3901,0.000411149,0.009602356,0.000419885,0.000269314,0.000281346,0.00716,0.00499,0.542162183,0.371313333,0.000437195,0.000278719
30-04-1998,0.4063,0.4084,0.3771,0.000346623,0.007283651,0.00043117,0.000276595,0.00028783,0.006403333,0.00551,0.472605803,0.372206667,0.000441992,0.000285217
01-05-1998,0.3864,0.3963,0.3771,0.000393777,0.002355954,0.000442762,0.000284187,0.000294727,0.006783333,0.005326667,0.503015757,0.373663333,0.000449677,0.000292213
04-05-1998,0.3959,0.3996,0.3891,0.000407013,0.001769009,0.000454458,0.000291663,0.000301848,0.00689,0.005326667,0.50817199,0.375226667,0.000457765,0.000299299
05-05-1998,0.3917,0.3979,0.388,0.00038054,0.001119426,0.000464998,0.000298889,0.000308887,0.00689,0.005513333,0.496776317,0.376603333,0.000463535,0.000305997
06-05-1998,0.3917,0.3917,0.3755,0.000323046,0.001658193,0.000474319,0.000305884,0.000315547,0.00683,0.005976667,0.466997751,0.377456667,0.000465033,0.000311942
07-05-1998,0.3792,0.3876,0.3677,0.0003338,0.004069642,0.000483499,0.000312586,0.00032233,0.006916667,0.005623333,0.491503247,0.37875,0.000467164,0.000317956
08-05-1998,0.3802,0.3865,0.3729,0.000357377,0.000668512,0.000490671,0.000319891,0.00032906,0.00696,0.005623333,0.493576574,0.380086667,0.000470756,0.000324192
11-05-1998,0.3873,0.3875,0.3604,0.000262656,0.003128552,0.000494284,0.000326038,0.000335259,0.006646667,0.006386667,0.435659487,0.380346667,0.000467692,0.000329234
12-05-1998,0.3656,0.383,0.3609,0.000340005,0.003226688,0.000499808,0.000333343,0.000341962,0.00715,0.006386667,0.46012238,0.38111,0.000470073,0.00033515
13-05-1998,0.3771,0.3917,0.374,0.000366063,0.004090043,0.000507524,0.000341097,0.000348707,0.00736,0.00634,0.472247696,0.38213,0.000474067,0.000341319
14-05-1998,0.3834,0.3943,0.3792,0.000343314,0.002092133,0.000514144,0.000348823,0.000355118,0.006723333,0.006523333,0.432403216,0.38233,0.00047626,0.000347155
15-05-1998,0.3827,0.3853,0.3729,0.000309809,0.000606816,0.000519484,0.000355692,0.000361368,0.006036667,0.006793333,0.382677182,0.381573333,0.000476039,0.000352532
18-05-1998,0.3749,0.3775,0.3614,0.000282923,0.001350596,0.000523614,0.000361803,0.00036752,0.006036667,0.006723333,0.386142659,0.380886667,0.000474009,0.000357534
19-05-1998,0.3735,0.3777,0.3719,0.000323046,0.000156755,0.00052613,0.000368533,0.00037389,0.00636,0.006116667,0.435360238,0.38113,0.000474831,0.000362966
20-05-1998,0.3766,0.3813,0.3677,0.000292851,0.000390546,0.000528147,0.000374972,0.000380206,0.00636,0.00589,0.448023781,0.3816,0.000473553,0.000367983
21-05-1998,0.3729,0.375,0.3638,0.000294919,0.000148957,0.000531479,0.000381629,0.000386665,0.005906667,0.00589,0.4232163,0.381616667,0.000472496,0.000372975
22-05-1998,0.3682,0.3692,0.3562,0.000247351,0.001067968,0.000534214,0.000387221,0.000392785,0.004986667,0.006273333,0.345559497,0.38033,0.000468282,0.000377349
26-05-1998,0.3585,0.3619,0.337,0.000176207,0.002945348,0.000535372,0.00039179,0.000398566,0.004986667,0.006716667,0.323035893,0.3786,0.000459514,0.00038083
27-05-1998,0.3349,0.364,0.3323,0.000258106,0.007562416,0.000538151,0.000396877,0.000404699,0.00525,0.006716667,0.339991837,0.377133333,0.000456866,0.000385254
28-05-1998,0.3636,0.3657,0.3552,0.000246524,0.002396369,0.00054037,0.000401978,0.000410717,0.00525,0.006663333,0.342628755,0.37572,0.000453604,0.000389496
29-05-1998,0.3578,0.3709,0.3563,0.000284164,0.002107388,0.000541396,0.000407982,0.000417123,0.005223333,0.006663333,0.340944096,0.37428,0.000453106,0.000394145
01-06-1998,0.3667,0.3688,0.3472,0.000241147,0.001884374,0.000541992,0.000413301,0.000423271,0.005223333,0.006506667,0.348823827,0.372996667,0.000449721,0.000398234
