date,open,high,low,close,volume
04-06-1998,0.3578,0.3661,0.3437,0.3656,832525
05-06-1998,0.3645,0.3697,0.3593,0.3687,571097
08-06-1998,0.3651,0.3859,0.3625,0.3854,910422
09-06-1998,0.387,0.4323,0.3854,0.4271,3239403
10-06-1998,0.4302,0.4687,0.425,0.451,4047205
11-06-1998,0.4604,0.5218,0.4583,0.5208,5974824
12-06-1998,0.5291,0.5291,0.4854,0.5083,3609067
15-06-1998,0.4958,0.5708,0.4927,0.5479,5616563
16-06-1998,0.5562,0.6146,0.5541,0.6135,6527551
17-06-1998,0.6323,0.6765,0.6281,0.6583,6710567
18-06-1998,0.675,0.6875,0.598,0.5995,5273598
19-06-1998,0.5922,0.6354,0.5667,0.6318,6113430
22-06-1998,0.6229,0.6864,0.602,0.6781,6051709
23-06-1998,0.6755,0.7729,0.6708,0.7724,6243905
24-06-1998,0.7917,0.8396,0.7427,0.8318,9785101
25-06-1998,0.8333,0.8729,0.8,0.8255,9077143
26-06-1998,0.8125,0.8354,0.7812,0.7854,5191385
29-06-1998,0.7895,0.8302,0.7895,0.8229,4084439
30-06-1998,0.815,0.8458,0.8062,0.8312,3645911
01-07-1998,0.8484,0.9541,0.8396,0.951,4708940
02-07-1998,0.9646,1.0458,0.9375,1.0333,8713028
06-07-1998,1.0615,1.1729,1.0458,1.1625,7798108
07-07-1998,1.1917,1.1979,1.0083,1.0177,7875307
08-07-1998,0.9323,0.9917,0.8531,0.8927,9718609
09-07-1998,0.9219,0.9709,0.875,0.8792,4915691
10-07-1998,0.8584,0.8823,0.8177,0.8292,4163872
13-07-1998,0.8042,0.9,0.7855,0.8969,3210623
14-07-1998,0.9041,0.9646,0.8916,0.9583,4226257
15-07-1998,0.9667,0.9781,0.9146,0.9375,2935003
16-07-1998,0.9453,0.9583,0.9042,0.9448,2333202
17-07-1998,0.9364,1.0041,0.9323,0.9984,2970904
20-07-1998,1.0093,1.1677,0.9979,1.1458,5987332
21-07-1998,1.1437,1.225,1.0666,1.1005,7887769
22-07-1998,1.1167,1.1657,1.0875,1.1167,4662544
23-07-1998,1.0833,1.1541,1.0583,1.0635,4634959
24-07-1998,1.0771,1.0958,0.975,1.0354,4828850
27-07-1998,0.9927,1.0615,0.9636,1.0464,4805258
28-07-1998,1.0369,1.05,0.9833,0.9911,3457687
29-07-1998,1.0041,1.0125,0.8958,0.8984,3273982
30-07-1998,0.9312,0.9583,0.8791,0.9479,5295519
31-07-1998,0.9542,0.9594,0.9094,0.924,2240183
03-08-1998,0.9146,0.9292,0.8938,0.9021,2152202
04-08-1998,0.9177,0.951,0.901,0.9156,4677335
05-08-1998,0.9401,0.9427,0.8333,0.8849,3843404
06-08-1998,0.8698,0.9375,0.8589,0.9125,3100603
07-08-1998,0.9271,0.9907,0.9115,0.9667,3905639
10-08-1998,0.975,1.0156,0.9583,1.0135,3085902
11-08-1998,0.9625,1.0573,0.9604,1.0333,4692953
12-08-1998,1.0563,1.0959,1.0339,1.0865,3356907
13-08-1998,1.0885,1.125,1.0583,1.0625,4104904
14-08-1998,1.089,1.0896,1.0021,1.0229,3234898
17-08-1998,1.0063,1.0266,0.9875,0.9974,2436303
18-08-1998,1.0099,1.076,0.9927,1.0724,3000103
19-08-1998,1.0937,1.1146,1.0583,1.0729,3213503
20-08-1998,1.0521,1.0812,1.0458,1.076,2647621
21-08-1998,1.0604,1.0856,1.0271,1.0807,2522625
24-08-1998,1.0854,1.125,1.0843,1.1229,2324833
25-08-1998,1.1453,1.1459,1.0896,1.0969,2391975
26-08-1998,1.0812,1.0854,1.0567,1.0604,2731717
27-08-1998,1.0365,1.0417,0.9917,0.9917,2671293
28-08-1998,0.9979,1.0073,0.8604,0.8824,6505761
31-08-1998,0.8786,0.8968,0.6927,0.6979,6833082
01-09-1998,0.6344,0.7219,0.5417,0.6663,11242274
02-09-1998,0.6927,0.8,0.6833,0.7323,7888108
03-09-1998,0.6968,0.7521,0.6729,0.7156,4245007
04-09-1998,0.7223,0.7499,0.6833,0.7187,2968428
08-09-1998,0.7833,0.7895,0.75,0.7687,3655945
