date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
31-07-1997,0.1219,0.1219,0.1167,0.1198,121200,0.09126,,,-0.0026,0,0.0026,0.003096667,0.00162,1.911522634,65.65371025,0.101033333,0.105359361,0.095978144
01-08-1997,0.1172,0.1208,0.1125,0.1208,298877,0.092248,,,0.001,0.001,0,0.00313,0.00162,1.932098765,65.89473684,0.102543333,0.106355531,0.096225128
04-08-1997,0.1188,0.1206,0.1151,0.1156,222600,0.093164,,,-0.0052,0,0.0052,0.003103333,0.001793333,1.730483271,63.37644656,0.103853333,0.106951949,0.096417912
05-08-1997,0.1167,0.1167,0.1073,0.1104,252700,0.093872,,,-0.0052,0,0.0052,0.003103333,0.001923333,1.613518198,61.73740053,0.105033333,0.107174403,0.096557038
06-08-1997,0.1104,0.1156,0.1094,0.1125,103600,0.094538,,,0.0021,0.0021,0,0.003156667,0.001923333,1.641247834,62.13910761,0.106266667,0.10751799,0.096715674
07-08-1997,0.1126,0.1131,0.1063,0.1089,169478,0.095184,,,-0.0036,0,0.0036,0.003156667,0.002043333,1.544861338,60.70512821,0.10738,0.107607152,0.096836911
08-08-1997,0.1084,0.1151,0.1052,0.1146,184300,0.09597,,,0.0057,0.0057,0,0.003346667,0.002043333,1.637846656,62.09029066,0.108683333,0.108058304,0.097013658
11-08-1997,0.1146,0.1167,0.1125,0.1164,103300,0.096798,,,0.0018,0.0018,0,0.003406667,0.00201,1.694859038,62.89230769,0.11008,0.108596478,0.097206557
12-08-1997,0.1141,0.1151,0.1099,0.1099,47600,0.097486,,,-0.0065,0,0.0065,0.00332,0.002226667,1.491017964,59.85576923,0.111173333,0.108680576,0.09733286
13-08-1997,0.1115,0.1115,0.1084,0.1099,49200,0.098204,,,0,0,0,0.00332,0.002183333,1.520610687,60.3270745,0.11231,0.108759248,0.097457906
14-08-1997,0.1089,0.1125,0.106,0.1078,86800,0.098944,,,-0.0021,0,0.0021,0.0032,0.002253333,1.420118343,58.6797066,0.113256667,0.108697361,0.097560813
15-08-1997,0.1067,0.1077,0.0968,0.1057,133037,0.099516,,,-0.0021,0,0.0021,0.00266,0.002323333,1.144906743,53.37792642,0.113593333,0.108503983,0.0976418
18-08-1997,0.1026,0.1026,0.0985,0.1021,148700,0.099902,,,-0.0036,0,0.0036,0.002513333,0.002443333,1.028649386,50.7061197,0.113663333,0.108090823,0.09768616
19-08-1997,0.1047,0.1103,0.1026,0.1083,83561,0.10038,,,0.0062,0.0062,0,0.002216667,0.002443333,0.907230559,47.56795422,0.113436667,0.108104318,0.09779177
